Player,Scores
Josh Magette\magetjo01,19.21020180514467
Cheick Diallo\diallch01,19.228823210555493
Kentavious Caldwell-Pope\caldwke01,19.235400751738403
Monte Morris\morrimo01,19.235400751738403
Mfiondu Kabengele\kabenmf01,19.2628883274007
Tyson Chandler\chandty01,19.27141153589097
George Hill\hillge01,19.276711053487947
Mike Muscala\muscami01,19.28744763524647
Eric Bledsoe\bledser01,19.293908573420282
Markieff Morris\morrima02,19.301261271595052
Joakim Noah\noahjo01,19.328329598185242
Jalen McDaniels\mcdanja01,19.33839314256348
Reggie Jackson\jacksre01,19.341667514435148
Jarred Vanderbilt\vandeja01,19.348529014184
Darius Garland\garlada01,19.365149150026795
Harry Giles\gilesha01,19.389283246088905
Jaylen Nowell\nowelja01,19.395254626574342
Dennis Schröder\schrode01,19.413290029012508
Kevin Knox\knoxke01,19.42876706488619
KZ Okpala\okpalkz01,19.439987683545624
Chris Clemons\clemoch01,19.468805462345664
JaKarr Sampson\sampsja02,19.47107205929494
Al-Farouq Aminu\aminual01,19.473895968765888
Michael Kidd-Gilchrist\kiddgmi01,19.48650219047824
Jeff Teague\teaguje01,19.49942245705521
Cameron Payne\payneca01,19.504562514994635
Juan Toscano-Anderson\toscaju01,19.50468987651552
Troy Daniels\danietr01,19.513334563858418
Amir Coffey\coffeam01,19.530031495090924
Yuta Watanabe\watanyu01,19.530031495090924
Tim Frazier\fraziti01,19.536701968510737
Noah Vonleh\vonleno01,19.565038976957748
Solomon Hill\hillso01,19.580804172442562
Malik Beasley\beaslma01,19.583268035039843
Oshae Brissett\brissos01,19.606361121330554
Troy Daniels\danietr01,19.606361121330554
Zion Williamson\willizi01,19.608759611927155
Sviatoslav Mykhailiuk\mykhasv01,19.609199965524926
Grayson Allen\allengr01,19.609706183994383
Justin Jackson\jacksju01,19.619621402959304
Wenyen Gabriel\gabriwe01,19.622657172837933
Chandler Hutchison\hutchch01,19.634239238700555
J.J. Barea\bareajo01,19.638399490112626
Rodions Kurucs\kurucro01,19.65230712465082
Dennis Smith Jr.\smithde03,19.65507271081464
Jeff Teague\teaguje01,19.65507271081464
Zylan Cheatham\cheatzy01,19.712041445761038
Trey Burke\burketr01,19.719782637603657
Markieff Morris\morrima02,19.723584630800463
Admiral Schofield\schofad01,19.73512051487532
Austin Rivers\riverau01,19.740071296532754
Ish Smith\smithis01,19.74754227899758
J.J. Redick\redicjj01,19.756648030082914
Noah Vonleh\vonleno01,19.756648030082914
Derrick Rose\rosede01,19.76448921084506
Alec Burks\burksal01,19.770632819181813
Stanley Johnson\johnsst04,19.78265342957794
Jeff Green\greenje02,19.788845483454622
Yogi Ferrell\ferreyo01,19.794656599862343
Raul Neto\netora01,19.794656599862343
Tyler Johnson\johnsty01,19.816144734452354
Nassir Little\littlna01,19.81705308394067
Josh Jackson\jacksjo02,19.829813943790757
Bruno Fernando\fernabr01,19.850639916463784
Donta Hall\halldo01,19.850639916463784
Timothé Luwawu-Cabarrot\luwawti01,19.877671595658438
Naz Mitrou-Long\mitrona01,19.89221570179492
Wenyen Gabriel\gabriwe01,19.903453649501756
Markieff Morris\morrima02,19.923975348394013
Jared Dudley\dudleja01,19.924218658940053
Frank Jackson\jacksfr01,19.924218658940053
Garrison Mathews\mathega01,19.939368105144354
Anthony Tolliver\tollian01,19.939368105144354
Rodney Hood\hoodro01,19.940235913146022
Cedi Osman\osmande01,19.940235913146022
Treveon Graham\grahatr01,19.962587041387366
Rodney McGruder\mcgruro01,19.962587041387366
Anthony Tolliver\tollian01,19.962587041387366
Georges Niang\niangge01,19.967120414503455
Semi Ojeleye\ojelese01,19.967120414503455
Dwayne Bacon\bacondw01,19.96869662583256
Brandon Knight\knighbr03,19.96869662583256
Carsen Edwards\edwarca01,20.005507620599218
Brandon Knight\knighbr03,20.005507620599218
Terance Mann\mannte01,20.005507620599218
Jalen Brunson\brunsja01,20.008547268307765
Nicolas Batum\batumni01,20.015258292704637
Cameron Johnson\johnsca02,20.025824418470076
Nicolò Melli\mellini01,20.025824418470076
Glenn Robinson III\robingl02,20.02715463013343
D'Angelo Russell\russeda01,20.02715463013343
Reggie Jackson\jacksre01,20.047887350672013
Wesley Matthews\matthwe02,20.047887350672013
Glenn Robinson III\robingl02,20.047887350672013
DaQuan Jeffries\jeffrda01,20.06174320244644
Chris Chiozza\chiozch01,20.06804027769018
Frank Mason III\masonfr01,20.06804027769018
Ryan Broekhoff\broekry01,20.071415026482917
Anthony Tolliver\tollian01,20.071415026482917
Ante Žižić\zizican01,20.071415026482917
Cristiano Felício\feliccr01,20.080146930037724
Aaron Holiday\holidaa01,20.096680300839445
Duncan Robinson\robindu01,20.118026079771663
Ty Jerome\jeromty01,20.118704366010775
Theo Pinson\pinsoth01,20.118704366010775
Jordan McRae\mcraejo01,20.120958115825587
Seth Curry\curryse01,20.135139246318733
Rondae Hollis-Jefferson\holliro01,20.16276745253855
Allen Crabbe\crabbal01,20.172653438876146
Tyler Johnson\johnsty01,20.172653438876146
Ja Morant\moranja01,20.18346292183729
T.J. McConnell\mccontj01,20.19377607122383
Allen Crabbe\crabbal01,20.195138474170605
Brandon Goodwin\goodwbr01,20.195138474170605
Treveon Graham\grahatr01,20.195138474170605
Anfernee Simons\simonan01,20.195138474170605
Tyrone Wallace\wallaty01,20.20157151585593
Elie Okobo\okoboel01,20.223182342118747
Glenn Robinson III\robingl02,20.22403699797131
Kevin Porter Jr.\porteke02,20.23002501080353
Mario Hezonja\hezonma01,20.23062555482007
Jordan Clarkson\clarkjo01,20.240633995420197
Treveon Graham\grahatr01,20.247724209591905
Marko Guduric\gudurma01,20.247724209591905
Jerome Robinson\robinje01,20.247724209591905
Hamidou Diallo\diallha01,20.250229717479417
Wayne Ellington\ellinwa01,20.250854007384113
T.J. Leaf\leaftj01,20.250854007384113
Jerome Robinson\robinje01,20.259230241054567
Jabari Parker\parkeja01,20.262254940362784
Miye Oni\onimi01,20.26670609621013
Jeff Teague\teaguje01,20.277414740087636
Paul Watson\watsopa01,20.28151616078568
Brandon Knight\knighbr03,20.28712493437531
Paul Watson\watsopa01,20.28712493437531
Ed Davis\davised01,20.290984844622944
Ryan Arcidiacono\arcidry01,20.29214567611043
Damyean Dotson\dotsoda01,20.29985268651977
Isaiah Thomas\thomais02,20.328347819605334
Cody Martin\martico01,20.331625354641982
Kendrick Nunn\nunnke01,20.334743103505353
Jerome Robinson\robinje01,20.33956118279064
Reggie Jackson\jacksre01,20.341736872257403
Tony Snell\snellto01,20.36082802479459
DeMarre Carroll\carrode01,20.400308461539645
Thabo Sefolosha\sefolth01,20.410646365408674
Langston Galloway\gallola01,20.41139441630581
Denzel Valentine\valende01,20.41139441630581
Terence Davis\daviste02,20.430586940282762
Sekou Doumbouya\doumbse01,20.430586940282762
